Postcode,Total_EV_Chargers
2000,25
2007,1
2010,1
2015,3
2017,5
2020,6
2022,4
2026,2
2028,2
2029,1
2031,3
2033,2
2034,2
2035,1
2036,1
2037,7
2046,1
2047,3
2060,3
2061,1
2062,2
2065,5
2066,5
2067,5
2075,1
2084,1
2086,1
2088,1
2093,2
2096,1
2099,3
2100,3
2103,1
2109,1
2112,1
2113,3
2120,1
2126,3
2127,4
2128,2
2135,1
2138,3
2140,5
2142,2
2147,4
2148,5
2150,3
2153,7
2154,2
2155,3
2158,2
2160,1
2164,1
2166,1
2170,3
2174,1
2179,1
2193,1
2194,1
2200,2
2208,1
2217,1
2228,2
2232,2
2250,4
2256,1
2257,1
2259,1
2260,1
2261,4
2281,1
2284,1
2285,3
2287,2
2290,1
2295,1
2299,2
2300,3
2302,2
2304,6
2305,1
2307,2
2308,2
2312,1
2315,2
2316,1
2317,2
2318,1
2320,14
2323,2
2324,2
2325,7
2330,3
2335,1
2337,2
2340,4
2350,4
2357,2
2360,1
2370,3
2372,5
2380,2
2400,3
2421,1
2428,2
2430,2
2439,1
2444,10
2447,3
2448,2
2450,5
2452,1
2454,1
2460,2
2465,1
2470,3
2478,3
2479,1
2480,2
2481,12
2482,1
2483,1
2484,5
2485,2
2487,3
2500,4
2502,2
2525,1
2529,5
2535,6
2536,3
2537,4
2539,4
2540,3
2545,2
2546,4
2549,1
2550,1
2560,1
2565,1
2567,1
2571,1
2575,4
2576,2
2577,2
2579,2
2580,6
2581,1
2582,4
2594,1
2620,2
2621,1
2625,2
2627,2
2630,2
2640,2
2641,1
2643,1
2644,1
2650,2
2651,1
2652,1
2663,1
2671,1
2680,2
2700,1
2711,1
2715,1
2716,1
2717,2
2720,2
2722,3
2726,1
2729,1
2731,1
2737,2
2747,6
2750,2
2756,2
2760,1
2765,1
2766,4
2768,3
2769,1
2770,1
2780,7
2782,1
2787,1
2790,6
2794,2
2795,6
2798,1
2800,8
2830,5
2840,1
2848,1
2850,6
2865,1
2869,1
2870,1
2871,1
2880,1
